"COU","Country","SPEC","Species","UNIT","Measure","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2000","2000","TONNE","Tonnes","0","Units",,,188,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2001","2001","TONNE","Tonnes","0","Units",,,181,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2002","2002","TONNE","Tonnes","0","Units",,,216,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2003","2003","TONNE","Tonnes","0","Units",,,148,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2004","2004","TONNE","Tonnes","0","Units",,,143,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2005","2005","TONNE","Tonnes","0","Units",,,140,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2006","2006","TONNE","Tonnes","0","Units",,,169,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2007","2007","TONNE","Tonnes","0","Units",,,72,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2008","2008","TONNE","Tonnes","0","Units",,,23,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2009","2009","TONNE","Tonnes","0","Units",,,32,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2010","2010","TONNE","Tonnes","0","Units",,,51,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2011","2011","TONNE","Tonnes","0","Units",,,9,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2012","2012","TONNE","Tonnes","0","Units",,,18,,
"BEL","Belgium","PFLA","Flatfish","TON","Tonnes","2013","2013","TONNE","Tonnes","0","Units",,,37.159,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2000","2000","EUR","Euro","0","Units",,,576616.929,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2001","2001","EUR","Euro","0","Units",,,458300,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2002","2002","EUR","Euro","0","Units",,,645000,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2003","2003","EUR","Euro","0","Units",,,459000,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2004","2004","EUR","Euro","0","Units",,,708000,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2005","2005","EUR","Euro","0","Units",,,850000,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2006","2006","EUR","Euro","0","Units",,,1228483,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2007","2007","EUR","Euro","0","Units",,,614097,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2008","2008","EUR","Euro","0","Units",,,148785,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2009","2009","EUR","Euro","0","Units",,,150575,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2010","2010","EUR","Euro","0","Units",,,267369,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2011","2011","EUR","Euro","0","Units",,,58723,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2012","2012","EUR","Euro","0","Units",,,108242,,
"BEL","Belgium","PFLA","Flatfish","LC","National Currency","2013","2013","EUR","Euro","0","Units",,,271816.69,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2000","2000","USD","US Dollar","0","Units",,,531397.122,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2001","2001","USD","US Dollar","0","Units",,,410430.987,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2002","2002","USD","US Dollar","0","Units",,,607879.743,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2003","2003","USD","US Dollar","0","Units",,,518548.434,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,879653.8,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,1056400.062,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,1541969.732,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,840669.748,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,217527.546,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,209189.93,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,354110.715,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,81655.128,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,139128.535,,
"BEL","Belgium","PFLA","Flatfish","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,360978.34,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2001","2001","EUR","Euro","0","Units",,,900,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2002","2002","EUR","Euro","0","Units",,,1000,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2003","2003","EUR","Euro","0","Units",,,1000,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2005","2005","EUR","Euro","0","Units",,,2000,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2006","2006","EUR","Euro","0","Units",,,897,,
"BEL","Belgium","PHAL","Halibut","LC","National Currency","2007","2007","EUR","Euro","0","Units",,,15,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2001","2001","USD","US Dollar","0","Units",,,805.996,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2002","2002","USD","US Dollar","0","Units",,,942.449,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2003","2003","USD","US Dollar","0","Units",,,1129.735,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,2485.647,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,1125.898,,
"BEL","Belgium","PHAL","Halibut","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,20.534,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2001","2001","TONNE","Tonnes","0","Units",,,5,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2002","2002","TONNE","Tonnes","0","Units",,,3,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2003","2003","TONNE","Tonnes","0","Units",,,16,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2004","2004","TONNE","Tonnes","0","Units",,,62,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2005","2005","TONNE","Tonnes","0","Units",,,66,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2006","2006","TONNE","Tonnes","0","Units",,,82,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2007","2007","TONNE","Tonnes","0","Units",,,51,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2008","2008","TONNE","Tonnes","0","Units",,,14,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2009","2009","TONNE","Tonnes","0","Units",,,9,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2010","2010","TONNE","Tonnes","0","Units",,,19,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2011","2011","TONNE","Tonnes","0","Units",,,4,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2012","2012","TONNE","Tonnes","0","Units",,,9,,
"BEL","Belgium","PSOL","Sole","TON","Tonnes","2013","2013","TONNE","Tonnes","0","Units",,,33.584,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2001","2001","EUR","Euro","0","Units",,,44000,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2002","2002","EUR","Euro","0","Units",,,31000,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2003","2003","EUR","Euro","0","Units",,,154000,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2004","2004","EUR","Euro","0","Units",,,510000,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2005","2005","EUR","Euro","0","Units",,,639000,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2006","2006","EUR","Euro","0","Units",,,1058490,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2007","2007","EUR","Euro","0","Units",,,564240,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2008","2008","EUR","Euro","0","Units",,,129100,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2009","2009","EUR","Euro","0","Units",,,80694,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2010","2010","EUR","Euro","0","Units",,,189623,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2011","2011","EUR","Euro","0","Units",,,47584,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2012","2012","EUR","Euro","0","Units",,,88737,,
"BEL","Belgium","PSOL","Sole","LC","National Currency","2013","2013","EUR","Euro","0","Units",,,257675.72,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2001","2001","USD","US Dollar","0","Units",,,39404.241,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2002","2002","USD","US Dollar","0","Units",,,29215.926,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2003","2003","USD","US Dollar","0","Units",,,173979.213,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,633648.924,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,794164.282,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,1328597.581,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,772417.873,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,188747.563,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,112106.075,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,251141.816,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,66166.197,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,114057.841,,
"BEL","Belgium","PSOL","Sole","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,342198.831,,
"BEL","Belgium","PPLA","Plaice","TON","Tonnes","2000","2000","TONNE","Tonnes","0","Units",,,141,,
"BEL","Belgium","PPLA","Plaice","TON","Tonnes","2001","2001","TONNE","Tonnes","0","Units",,,142,,
