"","Year","Cod (Atlantic and Pacific)","FISH FOR REDUCTION","Flatfish","GRAND TOTAL","Greenland Halibut","Groundfish","Haddock","Hake","Halibut","Herring (Atlantic and Pacific)","Horse Mackerel","Mackerel","Norway Lobster (Nephrops)","Other Crustaceans","Other Fish","Other Flatfish (incl. Turbot)","Other Groundfish","Other Molluscs (incl. Sea Urchin)","Other Pelagics","Pelagics","Plaice","Redfish (incl. Pacific Rockfish)","Saithe / Pollock","Scallop","Shrimp","Sole","Squid","TOTAL CRUSTACEANS","TOTAL FISH","TOTAL SHELLFISH AND MOLLUSCS","Whiting / Silver Hake"
"1",2000,134798,118612,6335,546972,5133,162402,16099,3,14,57151,358,168864,3,0,1531,791,4536,20,2426,228798,397,2840,4113,6146,23124,0,0,23127,399067,6166,13
"2",2001,142914,81201,4419,514475,3990,172118,19738,10,1,70669,1212,164357,15,20,965,300,3916,0,6112,242350,129,2082,3455,3926,9460,0,0,9495,419853,3926,3
"3",2002,136000,147003,2794,539557,2472,164295,18362,5,11,79566,1661,127694,8,9,365,264,4634,0,6296,215218,47,1826,3465,657,9208,0,0,9225,382672,657,3
"4",2003,80757,129077,2650,382005,2164,99743,12865,14,5,56680,435,84032,35,0,152,433,2313,51,5283,146430,48,577,3215,0,3806,0,61,3841,248975,112,1
"5",2004,78815,60869,2122,269075,1642,101141,14904,10,5,14593,995,81455,9,382,563,274,3280,0,705,97748,201,513,3618,802,5439,0,0,5830,201574,802,1
"6",2005,74206,5895,3155,168675,2293,96889,14896,3,6,11511,257,45216,1,562,132,631,2945,0,231,57215,225,660,4177,0,4826,0,0,5389,157391,0,2
"7",2006,84050,28883,1815,215750,1260,114200,19772,14,13,28827,189,37904,0,1090,155,390,2703,0,608,67528,152,1061,6592,0,2079,0,0,3169,183698,0,8
"8",2007,86380,56451,1602,284105,966,122765,27855,1,4,53304,78,44749,0,564,362,517,2379,0,810,98941,115,1023,5127,0,3420,0,0,3984,223670,0,0
"9",2008,82808.7,21303.4,1302.2,282439.3,959.3,115789.9,23748.3,0.1,4.6,88037.7,646.8,49456.2,0,43.1,26,186.9,1979.3,0,610.1,138750.8,151.4,1092.2,6161.3,0,5223.9,0,0,5267,255868.9,0,0
"10",2009,73654.635,40178.429,1101.558,299853.443,1046.929,109469.394,23811.032,0.513,7.821,61505.439,1033.071,81566.557,0.126,470.2,81.607,30.682,2212.822,0,631.155,144736.222,16.126,2050.115,7740.225,0,3815.907,0,0,4286.233,255388.781,0,0.053
"11",2010,76218.1,49371,1774.8,294148,1729.7,115838.2,29774.8,5,11,66247.9,367.5,56256.7,0.1,0,13,20.5,1919.3,0,475.3,123347.4,13.6,627.7,7293.1,0,3803.5,0,0,3803.6,240973.4,0,0.2
"12",2011,88809.7,6341.8,3303.1,279762.2,3233.5,135784.1,35644,2.9,18.9,40714,2769.4,85437.6,0,0,10,39.8,2974.1,1.5,104.8,129025.8,10.9,1311.7,7041.6,0,5295.9,0,0,5295.9,268123,1.5,0.1
"13",2012,84151.3,3207.1,4202.6,288027.7,4154.3,132018.8,35540,0,8,45068.3,718.8,97653.4,0,0,1.8,32.4,2403.4,1.8,209.2,143649.7,7.9,834,9088.6,0,4945.9,0,0,4945.9,279872.9,1.8,1.5
"14",2013,93615,1016,3325,263044,3246,124061,18619,0.1,0.1,53959,1723,75127,0,0,2,71,2084,10.1,279,131088,8,750,8993,0,3553,0.1,0,3553,258475,10.1,0
"15",2014,125889,9555,5147,370736,4344,153576,17632,5,2,37095,79,154513,0,2436,2,798,2414,0,291,191979,4,822,6814,0,8041,0,0,10477,350704,0,0
