"","Country","Alaska Pollack","Albacore","Bigeye","Bluefin Tuna (North and South)","Clam","Cod (Atlantic and Pacific)","Cuttlefish","FISH FOR REDUCTION","Flatfish","GRAND TOTAL","Greenland Halibut","Groundfish","Haddock","Hake","Halibut","Herring (Atlantic and Pacific)","Horse Mackerel","Lobster (rock or European)","Mackerel","Mussel","Norway Lobster (Nephrops)","Octopus","Other Crustaceans","Other Fish","Other Flatfish (incl. Turbot)","Other Groundfish","OTHER MARINE ANIMALS","Other Molluscs (incl. Sea Urchin)","Other Pelagics","Other Salmon","Other Seaweed","Other Shellfish (incl. Whelk)","Other Tuna","Oyster, edible","Pelagics","Pink Salmon","Plaice","Redfish (incl. Pacific Rockfish)","Saithe / Pollock","Salmon","Sardine","Scallop","Shrimp","Skipjack","Sole","Squid","Swordfish","TOTAL AQUATIC PLANTS","TOTAL CRUSTACEANS","TOTAL FISH","TOTAL SHELLFISH AND MOLLUSCS","Tuna","Whiting / Silver Hake","Yellowfin"
"1","Belgium",25.275,0,0,0,0,429.519,21,0,1427.159,3798.656,0,1484.109,83,7,0,1.4,86.9,4.205,79.883,0,274,0,28,0,335,800,0,1,4,0,0,6.7,0,0,172.183,0,718.575,6,7,0,0,130.3,177,0,373.584,73,0,0,483.205,3083.451,232,0,125.315,0
"2","Chile",0,0,0,0,0,0,0,0,0,58265.012,0,21507.732,0,2721.415,0,0,0,0,0,0,0,0,36172.535,0,0,18786.317,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,585.053,0,0,36172.535,21507.872,585.053,0,0,0
"3","Colombia",0,0,4443,0,0,0,0,0,0,88867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62207,0,0,0,0,0,88867,0,88867,0,22217
"4","Denmark",0,0,0,0,4172,87273,345,3842499,20654,6087005,9459,329126,17856,6292,1325,1571018,4161,25,127358,0,1566,0,203,5718,3222,19846,0,0,129913,1119,0,0,0,0,1832450,0,6118,2980,194126,1119,0,12,49116,0,530,0,0,0,50910,2189067,4529,0,756,0
"5","Estonia",0,0,0,0,0,0,0,0,0,44512.559,0,0,0,0,0,18895.541,0,0,0,0,0,0,0,0,0,0,0,0,25617.018,0,0,0,0,0,44512.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44512.559,0,0,0,0
"6","Finland",0,0,0,0,0,0,0,3335.156,0,5213.385,0,0,0,0,0,1878.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878.229,0,0,0,0
"7","France",0,966.432,0,6,14.27,250.57,679.614,0,6043.659,146497.901,0,42133.27,820.609,12731.074,0.054,2903.192,28767.8,204.368,23678.568,28,41.084,48.495,5567.528,15362.405,2728.132,19921.361,0,120.886,3020.934,1.26,8537,3114.829,7.758,16.284,69028.508,0,525.717,16.853,4884.877,1.26,10658.013,1067.123,2.415,0,2789.471,2311.685,5,8537,5815.395,133554.32,7401.185,985.22,3507.887,0
"8","Germany",1.015,0,0,0,0,41972.06,3,234,7340.121,433239.858,5289.151,142788.828,4908.709,8.01,1926.979,259059,236.67,0,70.77,0,0,0,190,2497.978,81.452,9789.551,0,0,13070.25,0,0,0,0,0,270056,22.216,40.139,77868.925,8026.666,22.216,0,0,10106.62,0,2,0,0,0,10296.62,422706.858,3,0,214.362,0
"9","Greece",0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"10","Iceland",0,0,0,0,0,44247,0,0,56017.964,1908362.951,54318,158542.761,2392.88,0,151.568,63554.978,0,0,23599.68,0,0,0,0,0,1392.023,4676,0,0,1241753.287,0,0,0,0,0,1328907.978,0,79.526,100600.228,6610,0,0,0,360984.248,0,75.647,3910,0,0,360984.248,1543468.703,3910,0,16.653,0
